Order_ID,Order_Date,Customer_ID,Customer_Type,Customer_Segment,Region,State,City,Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit,Shipping_Cost,Payment_Mode,Sales_Channel,Order_Status,Delivery_Days,Product_Rating,Month,Month_Name,Quarter,Festival_Season
ORD006634,2024-06-17,CUST00960,New,Consumer,East,West Bengal,Kolkata,Grocery,Cooking Oil,1,816,0,816.0,628.4,187.6,56.48,Credit Card,Online,Delivered,9,4.3,6,June,2,Regular
ORD003766,2024-06-17,CUST01606,New,Home Office,North,Delhi,Dwarka,Home,Sofa,2,64549,25,96823.5,101202.31,-4378.81,5140.29,Credit Card,Online,Delivered,1,4.5,6,June,2,Regular
ORD002888,2024-06-17,CUST00107,Returning,Consumer,South,Karnataka,Mysore,Grocery,Sugar,4,151,20,483.2,314.71,168.49,27.17,UPI,Offline,Delivered,7,3.8,6,June,2,Regular
ORD004156,2024-06-17,CUST02156,Returning,Consumer,West,Rajasthan,Jodhpur,Electronics,Keyboard,1,2603,15,2212.55,1523.68,688.87,170.95,Credit Card,Online,Delivered,4,4.9,6,June,2,Regular
ORD008743,2024-06-17,CUST00250,Returning,Consumer,West,Maharashtra,Mumbai,Grocery,Rice,3,710,20,1704.0,1218.27,485.73,92.71,UPI,Offline,Delivered,3,4.1,6,June,2,Regular
ORD010958,2024-06-17,CUST00703,New,Consumer,South,Tamil Nadu,Chennai,Fashion,Jeans,5,2698,0,13490.0,9479.55,4010.45,288.06,UPI,Online,Returned,2,3.8,6,June,2,Regular
ORD011078,2024-06-17,CUST01198,Returning,Consumer,North,Uttar Pradesh,Lucknow,Fashion,Jeans,1,839,20,671.2,483.56,187.64,17.24,Debit Card,Online,Delivered,3,4.8,6,June,2,Regular
ORD014133,2024-06-17,CUST00786,Returning,Consumer,East,Odisha,Bhubaneswar,Home,Dining Table,5,16081,25,60303.75,57694.66,2609.09,1470.71,Credit Card,Online,Delivered,5,3.5,6,June,2,Regular
ORD012452,2024-06-17,CUST00833,New,Consumer,North,Delhi,Dwarka,Grocery,Rice,3,878,30,1843.8,1860.33,-16.53,54.16,Debit Card,Online,Delivered,5,3.6,6,June,2,Regular
ORD013941,2024-06-17,CUST02430,Returning,Corporate,East,West Bengal,Kolkata,Electronics,Smartphone,2,33523,5,63693.7,43941.69,19752.01,3395.53,Cash,Online,Delivered,9,3.8,6,June,2,Regular
ORD010732,2024-06-17,CUST01623,New,Corporate,South,Karnataka,Mysore,Beauty,Sunscreen,3,248,30,520.8,491.2,29.6,34.2,UPI,Online,Delivered,6,4.1,6,June,2,Regular
ORD000772,2024-06-17,CUST02361,Returning,Corporate,North,Delhi,Dwarka,Home,Bed,5,27568,25,103380.0,97193.51,6186.49,7339.18,Debit Card,Online,Delivered,4,3.7,6,June,2,Regular
ORD014217,2024-06-17,CUST01877,Returning,Home Office,South,Karnataka,Mysore,Fashion,Jeans,3,2046,10,5524.2,3593.93,1930.27,250.63,Credit Card,Online,Delivered,9,4.5,6,June,2,Regular
ORD006959,2024-06-17,CUST01594,Returning,Corporate,North,Punjab,Ludhiana,Home,Dining Table,2,5199,0,10398.0,7797.91,2600.09,688.91,UPI,Offline,Delivered,7,5.0,6,June,2,Regular
ORD010032,2024-06-17,CUST02339,New,Consumer,West,Gujarat,Surat,Fashion,T-Shirt,1,458,5,435.1,348.76,86.34,24.25,Debit Card,Offline,Delivered,2,4.1,6,June,2,Regular
